assessmentId,internalTaxonId,scientificName,LiteratureMass,MassMesurement,MassSource,Remove,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,citation,uncertainty,specificity,population,populationTrend,negation,SuperArchipelago,Archipelago,ArchipelagoPreviouslyInhabited,ArchipelagoColonised,Location,LocationColonised,LocationPreviouslyInhabited,WeigeltID,Mass,NewColony,Island,LakeSpring ,range,useTrade,systems,conservationActions,realm,yearLastSeen,yearLastSeen_cleaned,possiblyExtinct,possiblyExtinctInTheWild,scopes,z,scientificName_1,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes,Edit notes,References
122926208,122926206,Abutilon pitcairnense,,,,,Extinct in the Wild,,2018,2017-10-24 00:00:00 UTC,3.1,English,"<p><em>Abutilon pitcairnense</em> was first discovered on Pitcairn Island by Miss Rosalind Young in 1898. It was presumed extinct until another Pitcairn resident re-discovered a flowering specimen in the native forest in 2003. Despite conservation efforts, the last wild surviving plant died in a landslide in 2005, making the plant Extinct in the Wild. <em>Ex situ</em> conservation efforts to grow and reintroduce the species into its natural habitat, were carried out on Pitcairn island and one <em>ex situ</em> conservation site remains on island. The native vegetation of Pitcairn still needs to be restored and invasive species need to be removed and controlled. This species is assessed as Extinct in the Wild.</p>","<p>This species is a spreading shrub, growing up to 1 metre, with nodding bell-shaped yellow flowers. Flowering time in the wild occurred between July and August. It was known from unstable slopes in the native forest (Smyth 2008, Smyth <em>et al.</em> 2010).</p>","<p>There are considerable challenges in preserving the remaining forest, where this species was found. The native species in the forest are being out competed by the non-native, introduced species <em>Syzygium jambos</em> L. (Alston) and other invasive species such as <em>Lantana camara</em> L. (Smyth <em>et al.</em> 2010). <em>Syzygium jambos</em> L. (Alston) locally known as roseapple, was originally brought to the island for fuel wood. However, because of its aggressive growth and the decline of it being harvested for fuel, the plants have become very large trees. Their branches spread laterally, forming a dense canopy and stopping native species from regenerating. Adding to this pressure, heavy soil erosion is also degrading this species’ habitat (Smyth 2008).</p>",Yes,No,6 Clear justification of specific extinction cause,"This species has always been recorded as rare on Pitcairn Island. When it was re-discovered in 2003 only one individual was observed. No wild individuals survived from the 2005 landslide (Smyth <em>et al.</em> 2010). There has been an observed decline&#160;on the area, extent and quality of habitat,&#160;due to landslides and the negative effect of invasive species.",,,Polynesia,Pitcairn Island Group,No,1790,Pitcairn,,,,,Yes,Yes,,"<p><em>Abutilon pitcairnense</em> is an endemic plant species to the island of Pitcairn. Pitcairn is a small island, around 4 km in diameter, located in the South Central Pacific Ocean. Together with the islands of Henderson, Ducie and Oeno it forms part of the Pitcairn Island Group, a UK Overseas Territory. This species was initially collected on Pitcairn by Miss Rosalind Young in 1898 from Palver Valley Ridge but only described as a new species in 1981 by Fosberg. It was seen in the wild in 1955 by I.T. Twyford and collected by H. St. John in 1934. However, it was not found during the flora and vegetation survey of 1997, despite searches of known locations (Kingston 2001). It was re-discovered in 2003 at Tesdide by local islander Carol Warren. Cuttings and seeds were collected and propagated from this rediscovery and replanted at this location. In January 2005, a landslide on the island destroyed the original Tedside plant and three planted seedlings at this location. Despite efforts, this species has not been relocated in the wild ever since (Smyth <em>et al.</em> 2010). It survives in conservation collections <em>ex situ</em>.</p>",There are no known uses for this species.,Terrestrial,"Protecting native plants and their habitats has been recognized as a priority for the Pitcairn Islands by its local government. In 2003 a nursery was established on the island. Native species have been propagated on the island, where a small <em>ex situ</em> collection of this species remains. Cuttings were also brought to National Botanic Gardens Glasnevin and Trinity College Dublin in Ireland and later to England to the Royal Botanic Gardens, Kew's Tropical Nursery. These plants have flowered and set seed. The 2010 seeds harvested from the National Botanic Gardens Glasnevin were banked at Glasnevin, at Kew's Millennium Seed Bank and also sent to the native species nursery on Pitcairn Island. Species recovery research has been partly funded by the Mohammed Bin Zayed Conservation Fund. Genetic studies were performed on several samples from wild and clone origin. It was proved that the degree of polymorphism in the population was reduced when the original plant and planted seedlings were destroyed in the 2005 landslide. The genetic variation of the <em>ex situ</em> collections is thought to be reduced with only one clone in existence comparing to the variation which might once have existed in the original populations. Habitat restoration by removing and controlling invasive species is essential for a successful re-introduction of this species.",Oceanian,2005,2005,FALSE,FALSE,Global,Abutilon pitcairnense,Abutilon pitcairnense,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Abutilon,pitcairnense,,,,,Fosberg,,,
101442020,44072,Acaena exigua,,,,,Extinct,,2016,2016-01-08 00:00:00 UTC,3.1,English,The last known individual of <em>A. exigua</em> was discovered in 1990s and has since died.,"A small, tufted perennial herb of bogs set within wet forests.","The reason for the disappearance of this species is not known. Though impact by herbivory and rooting from pigs is assumed to be the cause. Feral pigs have become established at Wai'ale'ale (Kaua' i) only within the past two decades. The other known habitat, Pu' u-kukui (West Maui), is pig-free and apparently has always been so.",No,Yes,4 Non-specific threats,<p>No individuals of&#160;<em>Acaena exigua</em> are currently known to exist. &#160;</p>,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,"Maui, Kauai",,,,,Yes,Yes,,Previously recorded on the Hawaiian islands of Maui and Kaua'i.  <em>A. exigua</em> is now thought to be extinct.,,Terrestrial|Freshwater (=Inland waters),None.,Oceanian,1990,1990,FALSE,FALSE,Global,Acaena exigua,Acaena exigua,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Acaena,exigua,,,,,A.Gray,,,
2381395,195373,Acalypha dikuluwensis,,,,,Extinct,,2012,2009-01-15 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Acalypha dikuluwensis</span> was strictly endemic to copper-rich soil (i.e., it is an absolute metallophyte) in Katanga, Democratic Republic of Congo. Its habitat was restricted to steppic savanna in copper outcrops, which was destroyed by surface mining activities. Despite intensive fieldwork in the entire copperbelt region, no individuals were found after 1959. Based on these observations, this species is listed as presumed Extinct.","This plant was strictly endemic to copper-rich soil (i.e., it was an  absolute metallophyte). Its natural habitat was steppe  savanna, where it was found growing in copper outcrops. This habitat, which is naturally enriched with copper, is of rare occurrence.<br/> <br/> In the Katangan Copper Belt area, mineralised rocks appear as rounded  hills, typically a few tenths of meters above the level of the  surrounding non-mineralised areas, and most are typically a few tenths  of hectares in area, rarely exceeding 1 km² (Faucon <span style=""font-style: italic;"">et al</span>. 2010). The distance between nearby hills varies from less than a few hundred meters to more than 20 km (Faucon <span style=""font-style: italic;"">et al</span>. 2010).","This species' extinction was caused by habitat destruction as a result of mining activities, particularly by extraction surface mining.",No,No,5 Specific description,This species is now believed to be Extinct.,,,,,,,Congo,,,,,No,No,,"This species was endemic to the Katangan Copperbelt area in the Democratic Republic of the Congo. It was known from only one location (Dikuluwe, 10°43'312 25°22'833) with a very restricted range (extent of occurrence was estimated to be 1 km², and area of occupancy was estimated as 0.1 km²). It is now thought to be Extinct.",,Terrestrial,This species was not protected by any national legislation. It is now considered Extinct.,Afrotropical,1959,1959,FALSE,FALSE,Global,Acalypha dikuluwensis,Acalypha dikuluwensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Acalypha,dikuluwensis,,,,,P.A. Duvign. &amp; Dewit,,,
67371775,37854,Acalypha rubrinervis,,,,,Extinct,,2016,2015-06-07 00:00:00 UTC,3.1,English,"The Stringwood (<em>Acalypha rubrinervis</em>) was last recorded between 1855 and 1875, as a single individual transplanted to cultivation at Oakbank. The Central Ridge, which extends for less than 10 kilometres, has now been extensively explored and there is little chance of further individuals remaining undetected.","Stringwood was a monoecious shrub, evidently wind-pollinated, with long male catkins. The solitary female flowers matured into red capsules containing 3 seeds which were moderately large for an <em>Acalypha</em> species and had no obvious means of dispersal, unless by some long-extinct bird species. The few recorded localities appear to have been amongst cloud forest&#160;vegetation,&#160;dominated by&#160;Tree Ferns (<em>Dicksonia arborescens</em> L'Hér) and cabbage trees.","Habitat loss undoubtedly played a major part in the species’ extinction. However, fragments of cloud forest, still supporting a rich endemic flora, persist until the present day, and the reason for the uninhibited decline within these stronghold remain unknown.",No,Yes,5 Specific description,Extinct.,,,St Helena,St Helena,No,1658,St Helena,,,,,Yes,Yes,,"Stringwood was formerly endemic to the island of St Helena, South Atlantic Ocean, where probably confined to the Central Ridge.<br/><br/>Very little is known about the former range of this species. In the 19<sup>th</sup>&#160;Century it was recorded from the Diana’s Peak area, Cason’s and near ‘Round Tower’ (a locality now obscure), though it was undoubtedly already very rare. The named sites suggest a preference for high elevations (700 m&#160; and above) on the Central Ridge, but it is possible that it formerly also extended to lower altitudes where almost complete deforestation had already occurred.",,Terrestrial,,Afrotropical,1855-1875,1875,FALSE,FALSE,Global,Acalypha rubrinervis,Acalypha rubrinervis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Acalypha,rubrinervis,,,,,Cronk,,,
2612719,199821,Acalypha wilderi,,,,,Extinct,,2014,2011-03-29 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Acalypha wilderi</span> has not been reported from the wild since the 1929. Since the 1980s there have been several comprehensive surveys for it by island based botanists and naturalists (notably Mr G. McCormack), the current Cook Islands Flora writer (Mr W.R. Sykes of Landcare Research, New Zealand) and other botanists visiting the island (for example Dr(s) W.A. Whistler, P.J. de Lange, R.O. Gardner, T.J. Martin and Mr E.K. Cameron) over the last forty years. Given the survey effort, the lack of relatively intact potential habitat, and the island’s small size (67 km<sup>2</sup>) there now seems little doubt that <span style=""font-style: italic;"">A. wilderi</span> has gone extinct.","Very little is known about this species ecology; the few collections and notes available suggest it was a small shrub, rarely exceeding 2 m in height according to Wilder (1931), and a species of “open” forested habitats within an altitudinal range of 200-300 m asl (Wilder 1931, W.R. Sykes pers. comm. 2011).","<span style=""font-style: italic;"">Acalypha wilderi</span> was most probably a naturally uncommon species (see comments by Cheeseman 1903, Wilder 1931). It is only known from a handful of specimens collected between 1899 and 1929. These were all collected from forested habitats though there is conflict as to the exact type of habitat. Cheeseman (1903, p. 205) states “shaded woods near Arorangi” and Wilder (1931, p. 64) states “in semi-dry valleys, back of village of Avarua, altitude 200 to 300 m”). These are the only botanists to have provided any details as to the species likely habitat preferences. However, W.R. Sykes (pers. comm. 2011) is strongly of the opinion that this was a species of open forested habitats. Irrespective, the lowland and slope forests of Rarotonga, and especially those in the vicinity of Avarua and Arorangi are amongst the most heavily modified on the island as a result of deforestation for agriculture, roading, housing and plantation forestry. What few forested areas now remain are also seriously damaged and heavily infested with a range of weeds (ranging from small shrubs to trees and vines). Faced with these threats, it is hardly surprising that a small, apparently already uncommon shrub like <span style=""font-style: italic;"">A. wilderi </span>has vanished. As comprehensive surveys of the vegetation of Rarotonga over the last forty years have failed to rediscover this species it now seems very likely that it is extinct (see also comments by Whistler 1988). Nevertheless, as with any “extinct” plant there always remains a slim chance that it may yet be rediscovered somewhere else on Rarotonga though over time and with increasing survey effort this seems rather unlikely.",Yes,Yes,6 Clear justification of specific extinction cause,This species is extinct.,,,Polynesia,Cook Islands,Yes,1821,Raratonga,,,,,Yes,Yes,,"As far as is known <span style=""font-style: italic;"">A. wilderi</span> was only ever known from forested habitats on the northern (Avarua) and western (Arorangi) sides of Rarotonga in the Cook Islands (Cheeseman 1903, Wilder 1931) within an altitudinal range of 200-300 m asl.",This species is extinct.,Terrestrial,This species is thought to be extinct.,Oceanian,1929,1929,FALSE,FALSE,Global,Acalypha wilderi,Acalypha wilderi,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Acalypha,wilderi,,,,,Merr.,,,
13082860,82,Acanthametropus pecatonica,,,,,Rediscovered,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,,,,,USA,,,,,Yes,No,No,,,Terrestrial|Freshwater (=Inland waters),,Nearctic,1927,1927,FALSE,FALSE,Global,Acanthametropus pecatonica,Acanthametropus pecatonica,ANIMALIA,ARTHROPODA,INSECTA,EPHEMEROPTERA,ACANTHAMETROPODIDAE,Acanthametropus,pecatonica,,,,,"(Burks, 1953) ",,Rediscovered in 1987,
13037866,167,Achatinella abbreviata,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,1963,1963,FALSE,FALSE,Global,Achatinella abbreviata,Achatinella abbreviata,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,abbreviata,,,,,"Reeve, 1850",,,
13040003,170,Achatinella buddii,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,early 1900s,1902,FALSE,FALSE,Global,Achatinella buddii,Achatinella buddii,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,buddii,,,,,"Newcomb, 1853",,,
13041958,173,Achatinella caesia,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,early 1900s,1902,FALSE,FALSE,Global,Achatinella caesia,Achatinella caesia,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,caesia,,,,,"Gulick, 1858",,,
13042788,174,Achatinella casta,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,,,FALSE,FALSE,Global,Achatinella casta,Achatinella casta,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,casta,,,,,"Newcomb, 1853",,,
