species,island,year,lon,lat
cat,mus,1688,57.5012,-20.1597
cat,mus,1688,57.7228,-20.3754
black_rat,mus,1550,57.7228,-20.3754
norway_rat,mus,1733,57.5012,-20.1597
mouse,mus,1753,57.5012,-20.1597
pig,mus,1608,57.7228,-20.3754
snake,mus,1873,57.5012,-20.1597
cat,reu,1688,55.4485,-20.8785
black_rat,reu,1678,55.4485,-20.8785
norway_rat,reu,1733,55.4485,-20.8785
mouse,reu,1733,55.4485,-20.8785
pig,reu,1627,55.4485,-20.8785
snake,reu,1837,55.4485,-20.8785
cat,rod,1743,63.4287,-19.6795
black_rat,rod,1600,63.4287,-19.6795
norway_rat,rod,1870,63.4287,-19.6795
mouse,rod,1770,63.4287,-19.6795
pig,rod,1792,63.4287,-19.6795
macaque,mus,1605,57.7228,-20.3754
